"tree_ID","latitude","longitude","GUD","SRS","GUD_DOY","SRS_DOY","pheno_lag","dNDVI","NDVIseas","ratio","gup_rate","rain_sum","MAP","soil_texture","slope","elevation","curvature","admin","resid_trend"
"tree_699932",-6.67148,33.2541,101,124.666666666667,282,304.666666666667,-23.6666666666667,0.06300211433721,0.42542499491643,0.144003546978239,128.333333333333,1222.28365993517,1093.71815416874,1.79643526022032,1.86696696281433,1207,0,"United Republic of Tanzania",15.4019223866089
"tree_702085",-7.57782,33.98203,86,148,267,328,-62,0.103078130210259,0.644985991175443,0.166802622278019,140,1178.7803571285,1013.85265563669,1.52974414241274,0,1307,2,"United Republic of Tanzania",1.2036933751654
"tree_702724",-6.18739,32.44746,79,129.8,260,309.8,-50.8,0.0764845928864572,0.588553001207532,0.139650713439883,162,1199.82637189075,1123.52995279476,2.85608387302012,1.31528770923615,1094,-2,"United Republic of Tanzania",-8.36647882015531
"tree_703329",-7.0995,31.55961,111,140,292,320,-29,0.438545060744687,0.582721377541155,0.752581040694212,50,1155.86540585756,965.505139641653,1.84627192486012,3.34827041625977,870,6,"United Republic of Tanzania",17.029793619043
"tree_703540",-5.55365,34.75062,99.75,141.75,280.75,321.75,-42,0.0395088207246855,0.626502365146902,0.0615947307028671,105,1004.57162950002,1021.5342625929,1.7216710744146,0.931782901287079,1404,0,"United Republic of Tanzania",16.9464830757359
"tree_704209",-6.52959,32.80093,71,126.666666666667,252,306.666666666667,-55.6666666666667,0.129298222848336,0.492998333437721,0.277133605194185,153.333333333333,1118.56486784808,1054.8033127327,2.41573630659516,0.933464288711548,1139,4,"United Republic of Tanzania",-16.4735412790513
"tree_704635",-6.30034,33.26933,69.3333333333333,132,250.333333333333,312,-62.6666666666667,0.0558449813692997,0.58769008311891,0.0963860180277314,111.666666666667,1209.62762506447,1137.43585056484,1.86759825306062,1.85433411598206,1189,6,"United Republic of Tanzania",-15.9903660876342
"tree_706150",-6.79597,33.97365,92.25,142.75,273.25,322.75,-50.5,0.169077886289157,0.496112106862881,0.350297892368011,161.25,1131.45681277074,1145.55873921818,1.40205940258886,2.07596707344055,1379,-2,"United Republic of Tanzania",10.730906753616
"tree_70685",-32.36195,24.06197,76,150,257,330,-74,0.13043137404531,0.583521848465735,0.223524405107119,110,319.081085443497,159.352179776383,0.0134941253204418,0.927409946918488,776,2,"South Africa",-31.2986121436414
"tree_708198",-7.63272,35.78442,109.75,145,290.75,325,-35.25,0.0807428936486922,0.625791975941786,0.132282885439854,111.25,888.552491078735,747.40572674232,2.06726449147361,15.3864831924438,1449,-14,"United Republic of Tanzania",23.9084198311988
