tree_id_num,lon_tr,lat_tr
tree_235784,24.24244065,-31.3980089
tree_252365,23.90781636,-31.0837557
tree_73515,24.32249086,-30.69053353
tree_283580,23.90772621,-31.0835754
tree_202425,24.26939449,-30.67638041
tree_156870,24.26840288,-31.46381637
tree_1001582,31.52201843,-4.128154906
tree_1368013,31.5337375,-4.136358303
tree_1001593,37.39128733,-3.534084735
tree_1136003,37.39074645,-3.541927543
tree_1290851,37.39047601,-3.540485188
tree_463880,37.40318669,-3.51641588
tree_1001597,31.41258039,-4.993297763
tree_1001603,38.88231312,-6.505607502
tree_1700352,38.86230056,-6.516154727
tree_1954558,38.85481839,-6.518408407
tree_1621577,38.89538439,-6.487578058
tree_1260059,38.92918939,-6.506508974
tree_1525704,38.87798608,-6.565104666
tree_577774,38.8870909,-6.569972616
tree_385785,38.8654557,-6.556270239
tree_829353,38.85265487,-6.517236493
tree_100162,25.53829847,-25.80320207
tree_24526,25.57606991,-25.63706075
tree_17576,25.6297973,-25.85882291
tree_277919,25.6483675,-25.71621001
tree_283669,25.24234708,-25.81816651
tree_137799,25.33528825,-25.90281475
tree_148239,25.35764462,-25.99746933
tree_16328,25.42480386,-26.05633546
tree_18395,25.33736163,-25.97772709
tree_50368,25.63277214,-25.63210265
tree_284132,25.42300093,-26.05615517
tree_5027280,25.33485639,-25.55837097
tree_271573,25.52026914,-28.85486572
tree_18848,25.58445354,-28.98458756
tree_164035,25.54073243,-28.86478191
tree_1001677,39.33232526,-6.860607249
tree_1454639,39.33097306,-6.86511461
tree_970836,39.33061248,-6.848347227
tree_1001711,37.78874396,-8.259692082
tree_1855359,37.78955528,-8.260323112
tree_496796,37.78585927,-8.262216204
tree_1489190,37.79135822,-8.261404879
tree_100176,27.02797154,-33.47022301
tree_100181,23.94306369,-34.024989
tree_1001820,35.30222857,-8.415105887
tree_1483175,35.30574429,-8.42538267
tree_429355,35.27572546,-8.417449714
tree_865786,35.30168769,-8.426554583
tree_1898867,35.30466253,-8.389774518
tree_771861,35.30466253,-8.396084824
tree_1001822,31.60693659,-2.070003758
tree_1014613,31.59738104,-2.054408289
tree_1001838,36.29149805,-2.443934421
tree_724860,36.13960092,-2.43131381
tree_402292,36.34306194,-2.481796252
tree_1638137,36.33819402,-2.556167708
tree_952784,36.31628838,-2.573295679
tree_100185,26.99542861,-33.19563459
tree_139649,26.98524204,-33.17787558
tree_1001883,39.46808614,-9.435482254
tree_1171860,36.01916498,-10.64724117
tree_519870,36.03476035,-10.63389938
tree_659892,36.03133478,-10.65841942
tree_1001944,33.92641021,-7.239225567
tree_1010025,33.89530961,-7.203076532
tree_751045,33.92785256,-7.240217187
tree_970359,33.92586933,-7.241659542
tree_918930,33.92478757,-7.244183664
tree_1001980,38.12156544,-9.158369704
tree_1001986,33.82066818,-8.94589271
tree_1810207,33.8120141,-8.942737557
tree_769902,33.81913568,-8.951031101
tree_713877,33.81985686,-8.950309924
tree_100200,28.43308707,-31.57992599
tree_100201,29.88868472,-23.88324661
tree_100202,29.75671005,-28.16947641
tree_252540,29.7392216,-28.17813055
tree_121556,29.77041234,-28.17470495
tree_260557,29.75238301,-28.17776996
tree_1002038,29.91894034,-4.765676036
tree_1148453,29.94093612,-4.730428473
tree_979413,29.90190262,-4.774059727
tree_861730,29.91830931,-4.790556668
tree_1536053,29.91758814,-4.761619411
tree_1002059,34.67237384,-7.576376165
tree_566878,34.67264428,-7.576646606
tree_1199672,34.66948915,-7.58205544
tree_1135436,34.58096513,-7.555371863
tree_799925,34.67300487,-7.584128826
tree_1002072,30.90929157,-4.723937874
tree_126579,22.92936483,-32.09133116
tree_217183,22.96443187,-32.06915494
tree_1002102,39.39921409,-6.174226327
tree_683457,39.39975497,-6.174136179
tree_1134086,39.40101702,-6.176570154
tree_1496631,34.51047044,-2.576991715
tree_1115405,34.56365697,-2.58816997
tree_342173,34.50965912,-2.575639507
tree_967910,34.51975554,-2.581408929
tree_1135727,34.56861504,-2.578163629
