tree_ID,latitude,longitude,elevation,slope,curvature,num,swb
tree_204854,-32.63518852614073,25.99191721739283,1002,23.409095764160156,6.0,3,0
tree_4508011,-17.939672535080266,31.958314822631866,1393,2.1581132411956787,0.0,2,0
tree_4879160,-12.467026730388246,34.01810737225011,608,3.9050612449645996,10.0,1,0
tree_4226866,-18.255639976626387,31.47945196050231,1592,5.209288120269775,4.0,2,0
tree_41039,-31.446597303940518,28.310217232382506,1299,8.511116027832031,14.0,2,0
tree_2886891,-13.031441905329212,24.227593621778013,1121,3.8244731426239014,2.0,2,0
tree_4348170,-16.6992487222348,30.882320361132216,1347,2.091585874557495,-6.0,2,0
tree_946407,-10.252307173769069,39.025107090335,501,9.980525970458984,-2.0,2,0
tree_1998756,-11.559711143538346,35.1429379084871,1459,9.60888957977295,18.0,2,0
tree_4825306,-14.034146581914426,35.36174153807864,1189,6.725093364715576,2.0,2,0
tree_3593185,-11.938137213540085,32.94766003246095,996,9.783639907836914,0.0,3,0
tree_3229009,-17.126287911921203,26.554187564727087,1304,2.1502490043640137,2.0,2,0
tree_3488956,-12.62848186133142,27.388583472049994,1265,2.114206314086914,-4.0,2,0
tree_1087837,-8.203889790938156,38.27535383920861,128,4.6273674964904785,-6.0,2,0
tree_3713057,-14.291967345723613,28.905212922348003,1179,0.0,4.0,3,0
tree_3613808,-10.606752198305374,33.04835099334881,837,2.644361734390259,6.0,1,0
tree_1158402,-6.079841595139745,38.661003652916925,136,0.9274099469184875,-10.0,3,0
tree_2789732,-11.85069424188201,28.66199571448885,1132,4.816985130310059,2.0,2,0
tree_441122,-9.027115650122173,39.451138523183324,4,0.9390389323234558,6.0,2,0
tree_162362,-27.416385967118227,30.91004705148254,1100,3.475522518157959,-4.0,3,0
tree_2437090,-10.983474891704699,33.04096226290324,692,2.104001760482788,8.0,1,0
tree_779692,-3.7666650872604808,30.71430589253943,1352,2.073925256729126,8.0,2,0
tree_4531232,-19.351829706797094,31.126888676610562,1385,6.933908462524414,-6.0,3,0
tree_4204895,-16.895315395554814,28.89774392808348,892,6.816066741943359,2.0,2,0
tree_1682592,-8.18937541700919,38.053326279555435,207,4.149178981781006,2.0,2,0
tree_2318136,-12.180810411070716,27.224426125868433,1289,2.8442201614379883,6.0,2,0
tree_2450055,-14.243019793459938,26.00690425603347,1117,2.1257379055023193,0.0,2,0
tree_2129519,-12.897392409460522,32.92989943296508,1122,3.704791784286499,8.0,2,0
tree_3818269,-9.192882731784024,30.596184305633646,1186,1.3199970722198486,-12.0,2,0
tree_217345,-29.804297008653243,29.26054084889289,1734,3.699359893798828,2.0,2,0
tree_234154,-27.705759329981596,30.404594569771284,1696,0.0,2.0,4,0
tree_81661,-28.336427828374664,29.378996868377683,1759,5.0805206298828125,-14.0,2,0
tree_3236887,-10.98537000965241,30.880233501839196,1207,1.8889237642288208,-8.0,2,0
tree_2352234,-15.327040636855791,26.614764452538154,1090,2.6702158451080322,2.0,2,0
tree_3685756,-9.012226711704715,29.72780113008138,1067,1.3196598291397095,2.0,2,0
tree_2057254,-9.797590343843925,31.86238172256802,1233,0.0,0.0,2,0
tree_510472,-6.80741973672735,34.27735058929536,1258,1.316103458404541,-16.0,2,0
tree_633938,-10.4688411209244,39.50441586256989,340,2.080087423324585,-2.0,3,0
tree_4912258,-12.315221094124736,33.90947921148712,1080,13.678770065307617,14.0,1,0
tree_386562,-9.663375861236256,34.574023500583216,2061,14.632063865661621,-18.0,2,0
tree_2945072,-13.520489354264836,29.82677979616472,1437,2.659078598022461,-10.0,2,0
tree_1342981,-7.438181876242536,38.95650382062773,101,2.803844690322876,-4.0,2,0
tree_82297,-27.753716961811406,26.226028940900854,1270,0.0,2.0,4,0
tree_5049609,-20.42376638633811,25.63450243155493,905,2.710728168487549,10.0,3,0
tree_3572801,-14.815724437259256,26.55265363396471,1184,1.3341742753982544,-2.0,3,0
tree_141119,-28.91499173095821,31.038054465423816,190,3.175485849380493,8.0,0,255
tree_26408,-24.878831953330618,31.201939806441104,498,4.133979797363281,4.0,3,0
tree_2901792,-13.546900609804394,28.76404224209696,1316,1.3303313255310059,16.0,2,0
tree_2790105,-16.27791272279575,27.31610524352728,1058,0.9274099469184875,0.0,2,0
tree_2385992,-14.164321118967672,23.750175508389773,1093,1.8543341159820557,0.0,2,0
tree_4513557,-18.111495075972694,25.501019241520034,1068,0.9757456183433533,-2.0,3,0
tree_1019545,-3.205857325071754,36.369114893466815,1898,9.374598503112793,-2.0,2,0
tree_385356,-5.421317092465804,37.20369362393291,1329,2.9422574043273926,-10.0,2,0
tree_879810,-1.1068692771937103,31.61937855155944,1154,4.627676963806152,4.0,2,0
tree_2907939,-11.749365629543506,32.79026268347642,692,3.389860153198242,-4.0,2,0
tree_1328160,-10.523108380744837,35.13671746251756,871,2.8277721405029297,-4.0,2,0
tree_233245,-29.96322382929911,23.198089747861584,987,1.0704543590545654,6.0,2,0
tree_3795309,-14.844664003096124,26.678859571080384,1188,2.940683126449585,4.0,2,0
tree_4834009,-10.13870711533148,34.030365441046044,480,3.356682964862335,-12.0,3,0
tree_564010,-4.954355571047899,31.349750088160725,1065,1.8543341159820557,4.0,2,0
