"tree_ID","rainyear","GUD","GUD_DOY","latitude","longitude"
"tree_3749971",2023,111,292,-15.3953719013988,26.902425520597
"tree_3750242",2022,121,302,-15.7933734250252,28.2271308024536
"tree_3750242",2023,76,257,-15.7933734250252,28.2271308024536
"tree_3750642",2020,136,317,-14.8545765847379,24.6808478665576
"tree_3750950",2020,46,227,-13.5234635746675,27.0026661122785
"tree_3750950",2021,31,212,-13.5234635746675,27.0026661122785
"tree_3750950",2023,26,207,-13.5234635746675,27.0026661122785
"tree_3750978",2020,66,247,-13.1618839884457,27.920630032444
"tree_3750978",2021,36,217,-13.1618839884457,27.920630032444
"tree_3750978",2023,61,242,-13.1618839884457,27.920630032444
"tree_3751070",2021,76,257,-13.3754437151983,29.8723072179204
"tree_3751070",2022,81,262,-13.3754437151983,29.8723072179204
"tree_3751070",2023,66,247,-13.3754437151983,29.8723072179204
"tree_3752252",2019,71,252,-11.4582799718756,25.2439966567994
"tree_3752343",2019,96,277,-17.4638909117786,24.3341438414501
"tree_3752664",2022,71,252,-14.3501140234605,28.4315805857541
"tree_3752664",2023,66,247,-14.3501140234605,28.4315805857541
"tree_3752949",2019,96,277,-14.2544663058641,24.8541998791114
"tree_3753202",2021,141,322,-10.2570694936941,30.2373069346502
"tree_3753374",2019,21,202,-13.1336667969795,25.8956675211542
"tree_3753374",2020,66,247,-13.1336667969795,25.8956675211542
"tree_3753391",2022,101,282,-11.9115431348573,28.7908146848219
"tree_3753391",2023,71,252,-11.9115431348573,28.7908146848219
"tree_3753739",2019,66,247,-15.1298859428787,27.0022157430721
"tree_3753739",2020,111,292,-15.1298859428787,27.0022157430721
"tree_3753739",2021,101,282,-15.1298859428787,27.0022157430721
"tree_3753739",2022,NA,NA,-15.1298859428787,27.0022157430721
"tree_3753739",2023,76,257,-15.1298859428787,27.0022157430721
"tree_3753830",2019,61,242,-12.7250303173406,27.5232617011672
"tree_3753830",2021,76,257,-12.7250303173406,27.5232617011672
"tree_3753830",2023,71,252,-12.7250303173406,27.5232617011672
"tree_3753839",2019,91,272,-14.4323264695829,26.1049866428051
"tree_3753839",2020,81,262,-14.4323264695829,26.1049866428051
"tree_3753839",2021,76,257,-14.4323264695829,26.1049866428051
"tree_375427",2019,46,227,-6.48568667751912,32.72890099388
"tree_375427",2020,76,257,-6.48568667751912,32.72890099388
"tree_375427",2021,51,232,-6.48568667751912,32.72890099388
"tree_3754410",2021,61,242,-14.0770565113517,27.1579007972521
"tree_3754410",2023,56,237,-14.0770565113517,27.1579007972521
"tree_3755379",2019,96,277,-10.617569977461,33.0360037425318
"tree_3755379",2020,96,277,-10.617569977461,33.0360037425318
"tree_3755379",2021,111,292,-10.617569977461,33.0360037425318
"tree_3755379",2022,136,317,-10.617569977461,33.0360037425318
"tree_3755379",2023,106,287,-10.617569977461,33.0360037425318
"tree_3755795",2019,146,327,-12.9430981952583,32.0075210027566
"tree_3755795",2020,111,292,-12.9430981952583,32.0075210027566
"tree_3755795",2021,101,282,-12.9430981952583,32.0075210027566
"tree_3755795",2023,106,287,-12.9430981952583,32.0075210027566
"tree_3756088",2021,56,237,-12.2932243486281,29.9067403962551
"tree_3756179",2020,31,212,-13.1335776149584,25.8976473620219
"tree_37564",2019,116,297,-25.1849715361549,29.7117260707837
"tree_37564",2020,101,282,-25.1849715361549,29.7117260707837
"tree_37564",2023,61,242,-25.1849715361549,29.7117260707837
"tree_3756836",2020,86,267,-16.3104552422838,27.6820101577709
"tree_3756836",2021,86,267,-16.3104552422838,27.6820101577709
"tree_3756836",2023,71,252,-16.3104552422838,27.6820101577709
"tree_3756950",2019,86,267,-14.4540556690164,23.0734444961146
"tree_3756950",2020,86,267,-14.4540556690164,23.0734444961146
"tree_3756950",2021,81,262,-14.4540556690164,23.0734444961146
"tree_3756950",2023,91,272,-14.4540556690164,23.0734444961146
"tree_3756955",2019,96,277,-15.9239046901627,25.6268461550462
"tree_3756955",2020,86,267,-15.9239046901627,25.6268461550462
"tree_3756955",2021,86,267,-15.9239046901627,25.6268461550462
"tree_3756955",2022,101,282,-15.9239046901627,25.6268461550462
"tree_3756955",2023,81,262,-15.9239046901627,25.6268461550462
"tree_3757229",2019,96,277,-15.499763916161,26.6025955657633
"tree_3757229",2020,91,272,-15.499763916161,26.6025955657633
"tree_3757229",2021,136,317,-15.499763916161,26.6025955657633
"tree_3757229",2022,121,302,-15.499763916161,26.6025955657633
"tree_3757229",2023,111,292,-15.499763916161,26.6025955657633
"tree_3757658",2019,96,277,-13.8726067280512,27.6274708927862
"tree_3757658",2020,86,267,-13.8726067280512,27.6274708927862
"tree_3757658",2021,91,272,-13.8726067280512,27.6274708927862
"tree_3757658",2023,81,262,-13.8726067280512,27.6274708927862
"tree_3757770",2019,81,262,-11.925696321601,31.3451215412673
"tree_3757770",2021,86,267,-11.925696321601,31.3451215412673
"tree_3757770",2022,106,287,-11.925696321601,31.3451215412673
"tree_3757770",2023,81,262,-11.925696321601,31.3451215412673
"tree_3757842",2021,111,292,-9.23281844081869,31.3273609417714
"tree_3757842",2022,91,272,-9.23281844081869,31.3273609417714
"tree_3757842",2023,76,257,-9.23281844081869,31.3273609417714
"tree_3757977",2022,111,292,-12.9182164113801,28.494141773534
"tree_3757992",2019,101,282,-10.3787672796448,33.1345320394088
"tree_3757992",2020,101,282,-10.3787672796448,33.1345320394088
"tree_3757992",2021,106,287,-10.3787672796448,33.1345320394088
"tree_3757992",2023,116,297,-10.3787672796448,33.1345320394088
"tree_3758301",2019,106,287,-16.19759093552,26.1361780546739
"tree_3758301",2020,91,272,-16.19759093552,26.1361780546739
"tree_3758301",2021,86,267,-16.19759093552,26.1361780546739
"tree_3758301",2022,101,282,-16.19759093552,26.1361780546739
