"tree_id_num","lon_tr","lat_tr"
"tree_2962906",29.80694888,-10.12996243
"tree_18152",22.2062987,-33.97973509
"tree_156510",24.51982183,-28.09267098
"tree_1130840",37.47214888,-8.010975906
"tree_760390",31.21993697,-2.522272354
"tree_545617",32.26996529,-8.76406577
"tree_276994",30.39783289,-28.21455002
"tree_159901",28.30309563,-32.67251028
"tree_133625",30.8724549,-26.88587017
"tree_978242",38.10407699,-9.291156557
"tree_2899165",29.60294698,-9.144563186
"tree_881390",32.14511216,-6.209924625
"tree_4109878",26.8341824,-15.14611426
"tree_1832484",35.55247571,-10.50498886
"tree_5000430",33.07237756,-13.10842479
"tree_4822346",33.41664754,-11.03612052
"tree_3194683",23.83500294,-13.42051621
"tree_4927321",33.69132432,-13.02603023
"tree_4732528",33.83005999,-10.24003044
"tree_3662747",26.07442633,-14.97032719
"tree_175763",19.18323144,-34.04824698
"tree_2204511",23.70023368,-15.70160143
"tree_86384",26.95432174,-27.01369892
"tree_2895854",28.51686,-13.01034636
"tree_4038059",30.89051176,-8.994828656
"tree_278139",23.05475879,-33.80656229
"tree_3266571",23.82806165,-13.01305078
"tree_509910",38.29762187,-8.725843349
"tree_4552506",25.51778663,-18.1484534
"tree_160019",29.38260153,-31.53972033
"tree_559801",38.64072007,-7.662016022
"tree_4521219",31.44456701,-18.81518222
"tree_1867071",37.25660821,-9.706645088
"tree_3510784",26.07974498,-14.42142077
"tree_2774543",31.89059884,-12.10517814
"tree_5025480",25.7923507,-20.76713645
"tree_176332",31.77392121,-27.66726626
"tree_78278",19.67849703,-34.63726891
"tree_1187722",31.57637687,-4.848972066
"tree_434439",31.80742277,-1.162401561
"tree_4641216",33.20272958,-12.90946987
"tree_2177356",25.7374581,-15.99863651
"tree_3800558",28.58609263,-15.55754617
"tree_4316856",31.3672212,-18.79498925
"tree_291384",26.53270595,-33.10197163
"tree_241266",28.83865676,-31.69675678
"tree_4596575",28.28745171,-18.80256161
"tree_3924285",26.15249334,-13.11059007
"tree_4545450",29.15862875,-16.27149816
"tree_583968",38.36144571,-5.097868536
"tree_4912786",35.06912543,-13.73792281
"tree_682307",39.80956169,-5.046755063
"tree_2123470",29.86292996,-13.33992459
"tree_1327608",31.41871036,-2.294290038
"tree_4218285",31.84481805,-16.54491467
"tree_269241",27.10035928,-32.80583801
"tree_4512168",32.31186775,-18.86981144
"tree_15515",21.05900253,-28.68565939
"tree_4378955",31.67552268,-18.20353335
"tree_3808782",25.81074734,-13.27619051
"tree_4458411",30.81137708,-16.83041091
"tree_605262",39.03114526,-8.791019788
"tree_2470422",32.69335486,-13.23445235
"tree_191579",27.5587549,-31.87425666
"tree_2572418",30.52235279,-10.64280996
"tree_4255417",31.77810955,-20.82258049
"tree_4733451",35.18072695,-17.08779346
"tree_389104",34.25860066,-2.054318142
"tree_857616",35.19071715,-6.732598199
"tree_4875526",33.32947575,-11.39301336
"tree_506909",38.49828834,-8.338030015
"tree_4232868",30.43258094,-18.34830978
"tree_3060601",28.73041744,-14.02910008
"tree_3335067",25.43267224,-13.51147475
"tree_4251019",30.73502288,-20.91714492
"tree_894126",39.69669807,-10.26519725
"tree_1595207",38.21892384,-9.798685398
"tree_127370",29.73967234,-27.76534643
"tree_3008769",26.24101736,-17.06336531
"tree_3682783",22.56871277,-14.81491338
"tree_4339261",31.03241662,-18.13231704
"tree_363715",33.18035644,-6.609547245
"tree_210742",30.82404616,-27.70693103
"tree_195066",26.78980414,-25.26294979
"tree_4266152",31.82246169,-17.8809866
"tree_2513369",26.39652035,-15.47839691
"tree_2853985",25.43817118,-16.02559053
"tree_1855121",37.20783887,-10.5359995
"tree_4907576",35.21705605,-16.6665355
"tree_2273996",23.39067004,-14.53879245
"tree_178761",24.30779696,-33.93952943
"tree_2132025",23.43601381,-13.94679567
"tree_1029572",34.32431758,-1.325297585
"tree_4370990",31.56338027,-18.76280669
"tree_4226385",31.45159845,-20.12610308
"tree_1459976",31.65264095,-1.150411981
"tree_2515088",27.59907683,-12.46522613
"tree_12569",31.47120882,-28.83359097
"tree_1214161",37.1733127,-9.929669306
"tree_129480",27.97973967,-32.25008041
"tree_3955820",30.85553486,-13.05532982
"tree_4886229",33.07165638,-13.4920012
"tree_4295213",28.82364387,-19.3117131
"tree_3794265",22.73115706,-16.99521401
"tree_3309362",27.51713351,-16.43999729
"tree_3242886",29.11263929,-15.32415502
"tree_29130",30.31003007,-30.66610363
"tree_382433",35.20288695,-4.538595192
"tree_1613869",39.77891183,-10.36634243
"tree_4506122",28.41086245,-19.76740729
"tree_4660312",34.76352835,-15.903259
"tree_4715792",33.91236386,-10.38949453
"tree_3696718",30.31708884,-8.458452705
"tree_4593387",32.84787961,-19.60090538
"tree_3067302",27.34982131,-13.5180555
"tree_4334422",30.68174622,-19.33884742
"tree_253404",24.1567112,-33.95341211
"tree_3536480",29.72302234,-8.913515865
"tree_199910",32.1300004,-27.9657437
"tree_3540526",24.85086568,-16.45306864
"tree_220802",29.96449803,-31.31471287
"tree_3588948",30.33619994,-12.15944676
"tree_4346041",30.5498617,-17.54744189
"tree_113968",31.52610812,-28.64103651
"tree_3768806",25.83625884,-12.3412737
"tree_4515139",31.1999992,-18.6929426
"tree_1329434",39.1409439,-7.928310906
"tree_1195005",30.29025444,-4.031787529
"tree_5006419",34.0398312,-10.28257992
"tree_150691",31.21762635,-27.84521687
"tree_3631434",26.2465163,-17.35481127
"tree_1126284",30.07723788,-5.550497721
"tree_140572",29.73237046,-25.5493475
"tree_3482497",27.89710169,-14.14764367
"tree_2253898",24.93488237,-14.07786972
"tree_3514800",25.83571796,-12.43088004
"tree_4317791",30.13347442,-18.02161626
"tree_3298858",31.37856579,-10.38805392
"tree_4590231",32.41129948,-21.05065295
"tree_1160693",37.63206906,-7.166837351
"tree_81151",19.02574528,-33.85929841
"tree_88598",27.05357318,-32.05482153
"tree_1495475",39.49116368,-9.642820857
"tree_2949481",32.45572826,-13.69717802
"tree_4273173",32.08397706,-18.47496662
"tree_2419702",28.59041967,-15.36228729
"tree_270438",25.38676198,-31.63924286
"tree_4010411",24.88791596,-15.30468322
"tree_4811610",33.25429346,-12.82806694
"tree_2462423",22.12374885,-15.00981167
"tree_1890915",34.73421445,-11.04920761
"tree_2982144",27.33900371,-13.15963016
"tree_82925",26.069803,-33.47445993
"tree_946831",37.71716751,-9.034597573
"tree_1227117",39.0532312,-9.313242626
"tree_996019",34.6831013,-3.332154966
"tree_132373",20.41039753,-34.06357201
"tree_2459872",31.06458497,-11.13699701
"tree_51319",31.3940433,-27.4972486
"tree_853917",34.46070948,-2.559683449
"tree_120406",30.28659195,-25.52113142
"tree_11063",30.93177138,-29.69197279
"tree_2922377",31.78981487,-13.10238667
"tree_4108758",26.34603822,-15.18686081
"tree_2710652",22.39184502,-13.20740818
"tree_4740838",34.0491163,-12.53337568
"tree_695245",37.84697871,-8.242203521
"tree_101609",29.09124762,-31.23484243
"tree_1153246",33.2529245,-6.552934792
"tree_3104574",30.63070908,-11.85114328
"tree_4440983",29.25084875,-16.07470678
"tree_3264196",24.22047007,-14.59396255
"tree_2367846",22.97806877,-13.92155445
"tree_3755352",25.76333019,-15.72161411
"tree_4688809",34.04289618,-10.35749226
"tree_798538",30.88260816,-2.560224333
"tree_4831597",34.88567703,-16.39627414
"tree_4518105",30.6637169,-17.19812142
"tree_3239830",23.86880794,-14.0073746
